destination_wallet,valid_stamps_count,tx_count,contributor_count,stamp_holders_tx,amount_usd_total,holders_ratio,amount_per_contributor,round
0x09203487A637b28D8D5CfDFE0BCE8F7A815a8c48,0.0,11,11,10.0,73.26540369254897,0.9090909090909091,6.660491244777179,gr15
0x092b254788219cF27761F217013563FdF85b633C,36.0,19,19,19.0,46.719858220999996,1.0,2.4589399063684207,gr15
0x095f1fD53A56C01c76A2a56B7273995Ce915d8C4,193.0,437,437,400.0,6048.038999903293,0.9153318077803204,13.839906178268405,gr15
0x097B7FeB64D0B272efc3092f833B0E18bD4d1521,1302.0,1286,1286,1066.0,76721.51934079657,0.8289269051321928,59.65903525722906,gr15
0x097b3Dca5a9CaFDcE84f64e3a596Aeb74CD889A8,0.0,15,15,11.0,33.658124875,0.7333333333333333,2.2438749916666665,gr15
0x0C1Dc2bE47BeBb487334c4d2e927D02ce910393F,14.0,23,23,16.0,410.12056227,0.6956521739130435,17.831328794347826,gr15
0x0D538d6253Eb5CeBaEf94a873a7d3DF22D6F936c,2938.0,1482,1482,1125.0,6552.660410779438,0.7591093117408907,4.42149825288761,gr15
0x0DcD108c2FdA4aCC3A9d7794B5388ec64bfFc385,4.0,11,11,8.0,45.4135607737,0.7272727272727273,4.128505524881818,gr15
0x0E4d2ec48f03a9eD9068EeA2926dE34b6AB8646b,214.0,216,216,185.0,1153.6621771145,0.8564814814814815,5.341028597752315,gr15
0x0F7272F8873B68b2a2F52685311822D831afC8b4,111.0,201,201,176.0,2304.65054193381,0.8756218905472637,11.46592309419806,gr15
0x0a0A82AeaD38896eafe0CEFabF1F607Ac9Cd288f,0.0,12,12,11.0,56.26798977,0.9166666666666666,4.6889991475,gr15
0x0a1A7829C8300739A125cF41eE39255d1806663D,179.0,604,604,567.0,15763.620154512637,0.9387417218543046,26.098708865087147,gr15
0x0a46a8cc7f3b478595d8098a2ab3047e21bfe47e,4163.0,1676,1676,442.0,292.99967420069,0.2637231503579952,0.1748208079956384,fantom
