index,address,valid_stamps_count,stamp_providers,issuance_date
52,0x2ca2ae442e68ae80d8a4f5e2c57566f7c36e2075,0,,
53,0x7c7ce9c8c8449a42c3286ddf25c503b60e6be571,0,,
54,0x1baa67c0ef5dc665c2a5fad4f4f8826835cfd7d0,0,,
55,0xac3bc089db7bc61717f0c875f564ea11d6fa20ee,0,,
56,0x3f2bf39c9d63b29912c44efc5cfff85cf4699665,0,,
57,0x8d1a7beefcccbab825ab3b024a2abf408e776100,0,,
58,0x3251261f985254d3c916bb5d65e81d23e27a1eb3,0,,
59,0x5c36310364e967b7cc7902404258e9b1f287c09e,0,,
60,0x75665958caf3cf62e951afedff7f8507111eee05,0,,
61,0x48710f645bc997207e482500cb78db6c59664259,0,,
62,0x7725c3242afb76e9871ad3e7c879f4c6d5db0092,0,,
63,0x33822df32268e7befb00775cb808278e53eb4341,0,,
64,0x8d0b0f26e41232c89fd676dd8ed3542808aad5bd,6,"[""Discord"",""ZkSync"",""SnapshotVotesProvider"",""Github"",""Twitter"",""TwitterTweetGT10""]",
65,0x09f091e426b5b5ca77fe4576e0fd8d5bee2159e2,0,,
66,0x95afe39b111176629ba6ee5f2c1c86ef973226fc,0,,
67,0xbe14d4460f4ac2a2d17010e0544ae33ef581e2e4,0,,
68,0x9d9621d41ac05620fc1080e69441995a687ef6f0,0,,
69,0x9cd6427b37071b26139f15e308f1616b7d114b28,0,,
70,0xbd7a1548882c919d5558bf6034e0895518125c07,18,"[""gtcPossessionsGte#10"",""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""Ens"",""Facebook"",""Github"",""Google"",""POAP"",""Discord"",""Linkedin"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""NFT"",""ZkSync"",""GnosisSafe"",""Brightid""]",
71,0x23a796e05d7d3b7847a5b39809824dae69a4284e,0,,
72,0x13379b550328a15bb656ecc1fe0b8ca08e03ee39,0,,
